reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
dc82a244-dfd1-49e5-ba0e-0a89c5e808c8,Anggun situmorang,https://play-lh.googleusercontent.com/a-/ALV-UjX_y_B2h1kad9TJQCf89jKpCQ3-ywiKcjpH_4lsrWIbArjkwJPN,saya download+ langganan karena squid game S2 ❤️,4,0,8.52.2 build 14 50335,2024-12-25 18:08:48,,,8.52.2 build 14 50335
32b4f473-287a-4080-a0dd-6ea1f54f05fb,Bintang Dhimas Aditya Nugroho,https://play-lh.googleusercontent.com/a-/ALV-UjUMANiaxYfHQRW_qZYT9o9FJzRLq5CBLgmiCIYTOPlBbRCkrCU3,tidak muncul sub,5,0,8.141.1 build 13 51230,2024-12-25 15:44:07,,,8.141.1 build 13 51230
f8b733ec-ea1f-436f-9571-997185e4aa1b,Iqmal Ending,https://play-lh.googleusercontent.com/a/ACg8ocLsRUi1TWDi-bpo2dYGO3V_qfqmwJXGrHzNk8bAL7xKAcr4Zg=mo,"Mau daftar akun aja susah,apa saya yang salah apa gimana.sudah benar sandinya aja tetap salah udah di coba dari jam 5 sore sampai jam 9 malem masih gak bisa udah di ganti-ganti sandinya tetep aja aduh.",1,0,,2024-12-25 14:22:47,,,
14b2fe3b-5117-41a5-b325-61805d302bfe,Nurul Amalia,https://play-lh.googleusercontent.com/a-/ALV-UjWWaVHKEV_Hhrry3dJ2n1s7sFg-o7hUN_FBpByfoZO3ObS1Khg,JELEK. GAK BISA LOGIN!!!!,1,0,,2024-12-25 14:09:50,,,
d3178265-0aae-4fab-a162-3e2f9b1c140d,ZaMaKh,https://play-lh.googleusercontent.com/a/ACg8ocIRb9TvDrsA91fdjUYmw1xKUMem8ZEiVcK5cNX5czZ2YWTIER5L=mo,"Pada tanggal 16 Desember 2024 saya membayar Paket Dasar yaitu 720p sebesar 65.000 rupiah, dimana harga tersebut adalah harga untuk 1 bulan. Seharusnya pembayaran berikutnya tanggal 15 Januari 2024, tetapi saya sudah diperingatkan untuk membayar yang berikutnya di tanggal 2 Januari 2025, jika tidak maka tidak bisa menggunakan fasilitasnya. Tolong pihak netflix untuk membenahi langganan saya. Terimakasih",1,0,8.141.1 build 13 51230,2024-12-25 14:00:54,,,8.141.1 build 13 51230
bd657b92-6b64-492c-9471-0ba09f019030,L0vely syaa,https://play-lh.googleusercontent.com/a-/ALV-UjUK9IXIvxFsRhTNmC3n2hBYbpThkf5cbTw8Lr25eEvS9FTw43k,💅👍,5,0,,2024-12-25 12:56:58,,,
f8f43bb1-27cf-4099-a7f3-6efbc3ed6821,Humaira NurArsyi,https://play-lh.googleusercontent.com/a-/ALV-UjXWhdUZsg_8jNGa8R2zLEy5CPS3t_cIYCygefIy7UjA2hu_wM0,jelek banget kalau pertama kali masuk harus bayar,1,0,,2024-12-25 12:16:40,,,
aa7a2edb-f92e-44d1-bd47-e869fc2b8ccf,Wandi Dewi,https://play-lh.googleusercontent.com/a-/ALV-UjWEi1zME-Qdim4pDgDuTv2BOtJ9E8uGdggterhNwi7EM7gvvg4,Boo,1,0,,2024-12-25 12:12:52,,,
59246950-2f1d-4677-8b41-876caa30a393,Gjls,https://play-lh.googleusercontent.com/a-/ALV-UjX8AAmQ9C3jTO4zKuuAOAAYpdyMcGnY70wz_NjmKv2da4CUvLxG,Demi nonton black clover movie 🙏🏻,4,0,,2024-12-25 12:04:10,,,
74333901-3c53-43e7-92b2-52807dbf5782,Arza Pardiatur R,https://play-lh.googleusercontent.com/a/ACg8ocKMcwc-yVJdZsgOMoYyDUxWqUwEIOeRBYehx-hjPjX35HWBQA=mo,Suka Log out Sendiri😔,3,0,8.139.1 build 24 51108,2024-12-25 10:33:23,,,8.139.1 build 24 51108
1d5a7cec-2325-4df8-9d0c-83b0fcf1dd72,Septian Putra,https://play-lh.googleusercontent.com/a-/ALV-UjX4j2Pl-M8NA3_xnPGhHjTH8Xm5Uhlf7tYIGfSzeqJG5OwSgPxj,"Upgrade movie terbaru, movie tahun 2010 kebawa dihapus saja dan perbanyak movie Holywood",4,0,,2024-12-25 10:00:20,,,
33943075-e65d-457f-80d8-7c4115ed3883,Indra Prayoga,https://play-lh.googleusercontent.com/a-/ALV-UjWY136jpl9Pw7JJtdMNMDTf-F9Jv8bMziVGrD0q3JldqpL38oM,Baru mendownload tetapi disuruh minta bayaran Astaga,1,0,8.141.1 build 13 51230,2024-12-25 08:08:57,,,8.141.1 build 13 51230
638259de-db45-4ac0-b5a2-8f2efdbb712e,Ibbazz Ahmad,https://play-lh.googleusercontent.com/a/ACg8ocIOUssby3OQL1X73-hxBF-U_mw8vnyx1pFbZTVgoh_-09abqg=mo,"Hai Netflix, mohon untuk buatkan film tentang pelaku pembunuhan vina dan eki. 7 orang telah divonis seumur hidup tanpa adanya saksi dan bukti. Barang kali dengan adanya ini bisa membantu mereka yang telah dihukum seumur hidup. Bantu mereka mencari keadilan",5,0,8.141.1 build 13 51230,2024-12-25 08:02:37,,,8.141.1 build 13 51230
67ff1540-5e8e-4e49-9fe6-257305195e8c,Celi Li,https://play-lh.googleusercontent.com/a/ACg8ocInZB_iVxCcdUvUreDdjsjNNh7CNL18A5OXkI2hjHBmrF2_kg=mo,Apk susah buat daftar ga guna,1,0,,2024-12-25 07:39:20,,,
